S.No,Title,Year,Rating
1,Pather Panchali,1955,8.516675740832444
2,Gol Maal,1979,8.471119157782981
3,Ratsasan,2018,8.470904785266944
4,Anbe Sivam,2003,8.459406145279708
5,Nayakan,1987,8.459083633430996
6,Apur Sansar,1959,8.447504867591674
7,Natsamrat,2016,8.42726914968818
8,Kireedam,1989,8.421130785981068
9,Pariyerum Perumal,2018,8.420465638655257
1, Black Friday,2004,8.413711440428186
11,Manichitrathazhu,1993,8.396616277565734
12,Thevar Magan,1992,8.390509748804954
13,96,2018,8.379939523030274
14,Kumbalangi Nights,2019,8.35510343736261
15,3 Idiots,2009,8.353544339431268
16,Taare Zameen Par,2007,8.343489822387832
17,Visaaranai,2015,8.314384079691786
18,Thalapathi,1991,8.292624322709482
19,Aparajito,1956,8.279904585769708
20,Anand,1971,8.276502051848826
21,Jaane Bhi Do Yaaro,1983,8.273751030933939
22,Asuran,2019,8.265709106706819
23,Pyaasa,1957,8.264713575902752
24,Guide,1965,8.260598749784776
25,Kannathil Muthamittal,2002,8.249360853413826
26,Chupke Chupke,1975,8.246416237392031
27,Vikram Vedha,2017,8.244206286513581
28,Kaithi,2019,8.242812278830298
29,Jersey,2019,8.242750011950308
30,Thani Oruvan,2015,8.229974867549641
31,Vada Chennai,2018,8.222113996681552
32,Soorarai Pottru,2020,8.211081078155107
33,Drishyam,2013,8.206482327833584
34,Khosla Ka Ghosla!,2006,8.204704722913474
35,Aruvi,2016,8.203369534812065
36,Peranbu,2018,8.195744859686835
37,Super Deluxe,2019,8.19181382725446
38,Agent Sai Srinivasa Athreya,2019,8.184117521742643
39,Tumbbad,2018,8.181671333690055
40,Andhadhun,2018,8.180388809329532
41,Mahanati,2018,8.171352022952291
42,Kaakkaa Muttai,2014,8.166135100002746
43,Premam,2015,8.159097931462362
44,Dhuruvangal Pathinaaru,2016,8.155981030759067
45,Satya,1998,8.154925213203926
46,Shahid,2012,8.153905018619053
47,Bangalore Days,2014,8.150523489766918
48,Mudhalvan,1999,8.145675695696058
49,Soodhu Kavvum,2013,8.145644867897188
50,Anniyan,2005,8.144267944124769
51,Gangs of Wasseypur,2012,8.142168364971335
52,Papanasam,2015,8.136993870173777
53,Jigarthanda,2014,8.130181067051703
54,Bhaag Milkha Bhaag,2013,8.125338626879469
55,Paan Singh Tomar,2012,8.125085020003631
56,Talvar,2015,8.124704422002207
57,"Swades: We, the People",2004,8.12410342315764
58,Hera Pheri,2000,8.121051183979617
59,Sholay,1975,8.121035336422578
60,Drishyam,2015,8.120707597945481
61,Nil Battey Sannata,2015,8.11966051832532
62,Pithamagan,2003,8.118112384466887
63,Black,2005,8.11587782902215
64,Chak De! India,2007,8.11507826467614
65,Jo Jeeta Wohi Sikandar,1992,8.112058765025596
66,Sairat,2016,8.111308444246164
67,Mughal-E-Azam,1960,8.110195438248354
68,Charulata,1964,8.10912405990519
69,Rang De Basanti,2006,8.105664918612623
70,Ustad Hotel,2012,8.104059341009664
71,Queen,2013,8.102968539053759
72,Udaan,2010,8.10201349953963
73,Article 15,2019,8.100857947404512
74,Zindagi Na Milegi Dobara,2011,8.099941998673849
75,A Wednesday,2008,8.097951673056016
76,Dil Chahta Hai,2001,8.094571686034213
77,Munna Bhai MBBS,2003,8.094428022659063
78,Sarfarosh,1999,8.090332572475287
79,Andaz Apna Apna,1994,8.088000209664804
80,Masaan,2015,8.087793303592086
81,OMG: Oh My God!,2012,8.085933951771509
82,Roja,1992,8.083578473446856
83,Lagaan: Once Upon a Time in India,2001,8.076812392580587
84,Maheshinte Prathikaaram,2016,8.075047941359607
85,Theeran adhigaaram ondru,2017,8.072851024766567
86,Kahaani,2012,8.070980965360578
87,Alai Payuthey,2000,8.069942359474265
88,Baasha,1995,8.063481702565909
89,PK,2014,8.063469054029015
90,Uri: The Surgical Strike,2018,8.058025044466891
91,Iqbal,2005,8.0545587246802
92,Pink,2016,8.04842240157131
93,Barfi!,2012,8.046620909474811
94,The Legend of Bhagat Singh,2002,8.045439541778288
95,Bommarillu,2006,8.042434217157082
96,Lucia,2013,8.035574196722028
97,Bombay,1995,8.03486482252052
98,Maqbool,2003,8.033855218573981
99,Omkara,2006,8.03152155371674
10, Section 375,2019,8.025666207933016
